iter	Passed	Remaining
569	2001	1509
570	2006	1507
571	2010	1504
572	2015	1501
573	2020	1499
574	2024	1496
575	2028	1493
576	2032	1490
577	2037	1487
578	2043	1485
579	2047	1482
580	2051	1479
581	2055	1476
582	2060	1473
583	2065	1471
584	2070	1468
585	2074	1465
586	2078	1462
587	2082	1459
588	2086	1455
589	2090	1452
590	2094	1449
591	2099	1446
592	2102	1443
593	2106	1439
594	2109	1436
595	2113	1432
596	2116	1429
597	2120	1425
598	2123	1421
599	2126	1417
600	2130	1414
601	2133	1410
602	2136	1406
603	2139	1402
604	2142	1398
605	2145	1394
606	2148	1391
607	2151	1387
608	2154	1383
609	2157	1379
610	2160	1375
611	2163	1371
612	2166	1367
613	2169	1364
614	2172	1360
615	2175	1356
616	2178	1352
617	2181	1348
618	2184	1344
619	2188	1341
620	2191	1337
621	2194	1333
622	2197	1329
623	2200	1325
624	2203	1321
625	2206	1318
626	2209	1314
627	2212	1310
628	2215	1306
629	2218	1303
630	2221	1299
631	2225	1295
632	2228	1291
633	2231	1288
634	2234	1284
635	2237	1280
636	2240	1276
637	2243	1273
638	2246	1269
639	2250	1265
640	2253	1261
641	2256	1258
642	2259	1254
643	2262	1250
644	2265	1247
645	2269	1243
646	2272	1239
647	2275	1235
648	2279	1232
649	2282	1229
650	2285	1225
651	2288	1221
652	2292	1217
653	2295	1214
654	2298	1210
655	2301	1206
656	2304	1203
657	2307	1199
658	2310	1195
659	2314	1192
660	2317	1188
661	2320	1184
662	2323	1181
663	2326	1177
664	2329	1173
665	2332	1169
666	2335	1166
667	2338	1162
668	2342	1158
669	2345	1155
670	2348	1151
671	2351	1147
672	2355	1144
673	2358	1140
674	2361	1137
675	2365	1133
676	2368	1129
677	2371	1126
678	2374	1122
679	2377	1118
680	2380	1115
681	2384	1111
682	2387	1108
683	2390	1104
684	2393	1100
685	2396	1096
686	2399	1093
687	2402	1089
688	2405	1085
689	2408	1082
690	2411	1078
691	2414	1074
692	2417	1071
693	2420	1067
694	2423	1063
695	2427	1060
696	2430	1056
697	2433	1053
698	2436	1049
699	2440	1045
700	2443	1042
701	2446	1038
702	2449	1034
703	2452	1031
704	2456	1027
705	2459	1024
706	2462	1020
707	2465	1016
708	2469	1013
