ID_DAY,ID_HOLIDAY_TYP,DS_HOLIDAY_TYP
2015-02-27,57,Vacances scolaires zone C
2016-04-15,58,Vacances scolaires zone A
2013-04-24,59,Vacances scolaires zone B
2009-04-22,60,Vacances scolaires zone C
2017-02-18,57,Vacances scolaires zone C
2017-04-03,60,Vacances scolaires zone C
2012-07-30,51,Vacances scolaires
2017-02-26,56,Vacances scolaires zone B
2012-02-15,55,Vacances scolaires zone A
2014-04-30,58,Vacances scolaires zone A
2015-05-14,3,Ascension
2010-07-02,51,Vacances scolaires
2010-06-20,7,F�te des p�res
2015-02-10,55,Vacances scolaires zone A
2018-08-28,51,Vacances scolaires
2019-08-13,51,Vacances scolaires
2016-02-17,56,Vacances scolaires zone B
2015-12-25,53,Vacances scolaires
2015-05-09,59,Vacances scolaires zone B
2019-03-07,57,Vacances scolaires zone C
2009-02-08,55,Vacances scolaires zone A
2019-02-12,56,Vacances scolaires zone B
2016-08-01,19,F�te nationale Suisse
2018-08-05,51,Vacances scolaires
2011-10-23,52,Vacances scolaires
2016-01-01,1,Nouvel An
2010-04-12,59,Vacances scolaires zone B
2011-02-20,56,Vacances scolaires zone B
2017-12-31,53,Vacances scolaires
2019-08-29,51,Vacances scolaires
2017-04-15,58,Vacances scolaires zone A
2009-02-22,57,Vacances scolaires zone C
2012-03-01,56,Vacances scolaires zone B
2019-04-27,58,Vacances scolaires zone A
2013-07-26,51,Vacances scolaires
2012-07-21,51,Vacances scolaires
2017-04-09,59,Vacances scolaires zone B
2016-03-04,57,Vacances scolaires zone C
2012-05-28,6,Lundi de Pentec�te
2011-04-29,58,Vacances scolaires zone A
2018-08-26,51,Vacances scolaires
2013-03-10,55,Vacances scolaires zone A
2019-06-16,7,F�te des p�res
2019-02-24,55,Vacances scolaires zone A
2012-04-19,60,Vacances scolaires zone C
2016-07-21,51,Vacances scolaires
2018-03-03,57,Vacances scolaires zone C
2009-03-07,56,Vacances scolaires zone B
2013-04-30,60,Vacances scolaires zone C
2009-02-21,57,Vacances scolaires zone C
2019-02-19,56,Vacances scolaires zone B
2018-07-14,51,Vacances scolaires
2009-05-01,59,Vacances scolaires zone B
2009-12-22,53,Vacances scolaires
2018-12-27,53,Vacances scolaires
2019-08-21,51,Vacances scolaires
2019-03-02,57,Vacances scolaires zone C
2014-08-15,51,Vacances scolaires
2017-11-04,52,Vacances scolaires
2014-07-17,51,Vacances scolaires
2012-07-13,51,Vacances scolaires
2016-04-21,58,Vacances scolaires zone A
2009-05-21,3,Ascension
2011-08-27,51,Vacances scolaires
2019-11-01,11,Toussaint
2015-05-31,8,F�te des m�res
2014-12-26,53,Vacances scolaires
2010-07-06,51,Vacances scolaires
2012-03-05,56,Vacances scolaires zone B
2016-04-29,60,Vacances scolaires zone C
2010-10-12,22,F�te nationale Espagne
2017-02-23,56,Vacances scolaires zone B
2010-07-09,51,Vacances scolaires
2018-05-01,4,F�te du travail
2012-04-28,59,Vacances scolaires zone B
2012-08-22,51,Vacances scolaires
2016-04-19,58,Vacances scolaires zone A
2010-04-21,58,Vacances scolaires zone A
2009-10-29,52,Vacances scolaires
2010-08-03,51,Vacances scolaires
2010-11-01,52,Vacances scolaires
2010-08-23,51,Vacances scolaires
2011-12-31,53,Vacances scolaires
2010-08-09,51,Vacances scolaires
2015-08-31,51,Vacances scolaires
2011-07-20,51,Vacances scolaires
2014-02-20,57,Vacances scolaires zone C
2019-04-16,59,Vacances scolaires zone B
2015-08-17,51,Vacances scolaires
2015-04-17,58,Vacances scolaires zone A
2012-04-16,60,Vacances scolaires zone C
2009-06-01,6,Lundi de Pentec�te
2016-02-13,55,Vacances scolaires zone A
2011-04-26,58,Vacances scolaires zone A
2016-04-23,58,Vacances scolaires zone A
2012-12-25,53,Vacances scolaires
2010-03-21,56,Vacances scolaires zone B
2011-10-03,14,Jour unit� nationale Allemagne
2018-07-21,17,F�te nationale Belgique
2013-08-15,10,Assomption
2009-02-25,56,Vacances scolaires zone B
2013-11-01,11,Toussaint
2009-10-03,14,Jour unit� nationale Allemagne
2011-12-29,53,Vacances scolaires
2014-03-14,55,Vacances scolaires zone A
2012-04-08,2,P�ques
2009-04-16,58,Vacances scolaires zone A
2011-12-20,53,Vacances scolaires
2017-04-23,59,Vacances scolaires zone B
2016-08-02,51,Vacances scolaires
2017-02-21,55,Vacances scolaires zone A
2018-02-14,55,Vacances scolaires zone A
2011-02-17,57,Vacances scolaires zone C
2019-04-24,58,Vacances scolaires zone A
2010-05-01,60,Vacances scolaires zone C
2016-07-06,51,Vacances scolaires
2016-08-10,51,Vacances scolaires
2013-11-04,20,Anniv vic1erG Italie
2013-07-11,51,Vacances scolaires
2019-07-22,51,Vacances scolaires
2019-04-29,60,Vacances scolaires zone C
2011-04-20,60,Vacances scolaires zone C
2013-04-26,59,Vacances scolaires zone B
2009-04-20,60,Vacances scolaires zone C
2015-08-02,51,Vacances scolaires
2017-02-09,57,Vacances scolaires zone C
2019-02-23,56,Vacances scolaires zone B
2014-03-09,56,Vacances scolaires zone B
2013-05-12,60,Vacances scolaires zone C
2009-07-27,51,Vacances scolaires
2013-03-13,57,Vacances scolaires zone C
2015-04-20,58,Vacances scolaires zone A
2019-04-28,60,Vacances scolaires zone C
2010-04-24,58,Vacances scolaires zone A
2014-10-21,52,Vacances scolaires
2014-07-06,51,Vacances scolaires
2019-08-30,51,Vacances scolaires
2017-05-01,4,F�te du travail
2009-03-04,56,Vacances scolaires zone B
2019-01-04,53,Vacances scolaires
2010-04-04,59,Vacances scolaires zone B
2018-04-14,58,Vacances scolaires zone A
2014-07-15,51,Vacances scolaires
2012-07-25,51,Vacances scolaires
2016-11-02,52,Vacances scolaires
2016-12-28,53,Vacances scolaires
2010-10-24,52,Vacances scolaires
2015-07-16,51,Vacances scolaires
2013-12-29,53,Vacances scolaires
2015-12-24,53,Vacances scolaires
2013-05-07,60,Vacances scolaires zone C
2018-10-22,52,Vacances scolaires
2017-08-15,51,Vacances scolaires
2019-08-05,51,Vacances scolaires
2009-03-06,56,Vacances scolaires zone B
2018-08-10,51,Vacances scolaires
2016-08-19,51,Vacances scolaires
2013-08-01,51,Vacances scolaires
2013-05-26,8,F�te des m�res
2012-04-11,58,Vacances scolaires zone A
2013-04-14,59,Vacances scolaires zone B
